num_procesos,tiempo,puntaje,param_num_particulas,param_w,param_c1,param_c2,x1,x2
1,2.5605,0.0,30.0,0.1,2.5,1.0,3.0,-1.0
2,1.659,0.0,40.0,0.1,1.0,1.0,3.0,-1.0
3,1.4735,0.0,30.0,0.1,1.0,1.5,3.0,-1.0
4,1.1327,0.0,30.0,0.1,1.0,1.0,3.0,-1.0
5,1.0672,0.0,20.0,0.1,1.0,1.5,3.0,-1.0
6,1.1429,0.0,30.0,0.1,1.0,1.5,3.0,-0.9999999999999996
7,1.1298,0.0,30.0,0.1,0.5,1.5,3.0,-1.0ç
8,1.1631,0.0,30.0,0.1,0.5,1.5,3.0000000000000004,-1.0
