num_procesos,tiempo,puntaje,param_num_particulas,param_w,param_c1,param_c2
5,2.2946,0.7499980512653928,40,0.6,1.0,1.0
5,3.9506,-30667.58161049631,50,0.4,1.0,1.5
5,24.8808,-30667.581610496345,50,0.4,1.0,1.0
4,25.8193,-30667.581610496345,50,0.4,1.0,2.5
5,23.7841,-30667.581610496345,50,0.6,1.5,0.5
5,23.865,-30667.581610496345,50,0.6,2.5,0.5
5,38.6842,-30667.581610496345,60,0.6,2.5,0.5
5,6.4214,-30667.581610496345,50,0.6,1.0,1.0
