num_procesos,tiempo,puntaje,param_num_particulas,param_w,param_c1,param_c2,x1,x2
8,2.5005,inf,,,,,0.0,0.0
8,3.0147,961.7315674976339,30.0,0.3,1.5,2.0,3.4457396404056952,0.22290463957401532
