num_procesos,tiempo,puntaje,param_num_particulas,param_w,param_c1,param_c2
1,31.1684,0.7499975000002647,50,0.6,1.0,0.5
2,15.1997,0.7499975000002529,50,0.6,1.0,1.5
4,7.7436,0.7499975000000787,50,0.6,1.0,1.0
6,5.4014,0.7499975000000101,50,0.4,2.5,1.0
8,4.1454,0.749997500000039,50,0.6,1.0,1.0
12,3.6197,0.7499975000001157,30,0.4,1.0,1.5
16,3.1347,0.7499975000367342,40,0.4,1.0,0.5
20,3.1445,0.7499975000017665,50,0.4,2.0,2.0
24,3.1387,0.7499975000000807,30,0.4,1.0,0.5
28,3.2408,0.7499975000000163,40,0.6,1.5,1.0
