num_procesos,tiempo,puntaje,param_num_particulas,param_w,param_c1,param_c2,x1,x2
1,18.1929,0.7499975000001032,50,0.3,1.5,1.0,0.7071034638333764,0.5000003082772955
2,8.8266,0.7499975000061238,30,0.7,1.5,0.5,0.707102104499631,0.49999816315564843
4,4.7,0.7499975000000003,50,0.5,0.5,0.5,0.7071032317116164,0.499999981741826
6,3.124,0.7499975007864907,40,0.3,2.0,1.0,-0.707108478386798,0.5000049291259797
8,2.5547,0.7499975,40,0.5,0.5,0.5,-0.707103248834365,0.5000000094324832
12,2.2201,0.7499975000080307,30,0.5,1.0,2.0,-0.7071012411030996,0.4999971690704425
16,2.0333,0.7499975000000016,30,0.3,0.5,0.5,0.7071032157579386,0.4999999577326298
20,1.9103,0.7499975001246879,50,0.1,1.0,2.5,0.707111114399517,0.5000115773473734
24,1.9511,0.7499975023745649,50,0.1,2.5,1.0,0.7071371947627357,0.5000486035941138
28,2.1521,0.7499975000032431,40,0.5,1.0,1.0,-0.7071034366883348,0.4999985577366727
