num_procesos,tiempo,puntaje,param_num_particulas,param_w,param_c1,param_c2,x1,x2
1,76.5042,343056864.3474239,50,0.9,1.0,2.0,69.22132119060628,57.62766191702728
2,42.1433,343056864.3474239,50,0.3,0.5,1.5,74.65890275331253,77.97516096790457
4,18.949,343056864.3474239,50,0.9,2.5,1.0,69.64283073434446,72.61676477931326
6,13.5843,343056864.3474239,50,0.7,2.0,2.5,72.18774779016323,59.701809944205365
8,9.7115,343056864.3474239,50,0.9,1.0,0.5,68.89395733939506,77.03711234694785
12,8.4141,343056864.3474239,50,0.9,0.5,0.5,72.77027492399517,73.63374897290257
16,7.1977,343056864.3474239,50,0.7,1.5,1.5,73.26978019480828,72.56404300689385
20,6.3959,343056864.3474239,50,0.9,2.5,2.5,72.55038601914366,54.87883910800571
24,6.9633,343056864.3474239,50,0.9,0.5,2.0,61.11965098721834,73.52342018294952
28,6.8646,343056864.3474239,50,0.7,2.5,1.5,75.73824493976616,73.83015077943156


