num_procesos,tiempo,puntaje,param_num_particulas,param_w,param_c1,param_c2,x1,x2
1,1.2539,0.0,50.0,0.1,1.0,1.5,3.0,-1.0000000000000004
2,0.8186,0.0,40.0,0.1,1.5,1.5,3.0,-1.0
3,0.7294,0.0,50.0,0.1,1.0,1.5,3.0,-1.0
4,0.7355,0.0,40.0,0.1,2.0,1.0,3.0,-0.9999999999999999
5,0.8075,0.0,50.0,0.1,2.0,1.0,3.0,-1.08
6,0.8439,0.0,50.0,0.1,1.0,1.5,2.999999999999999,-1.0000000000000002
7,0.8897,0.0,40.0,0.1,1.5,1.0,3.0,-1.0
8,0.9516,0.0,50.0,0.1,1.0,1.5,3.0,-1.0
